92, 2, 3, blackgood, Black, White, W7jpg.jpg, 7.487954e+04, 7.499092e+04, 7.499118e+04, i, 6.993098e-01, 1, 6.993098e-01
93, 3, 3, blackgood, Black, White, Fantastic, 7.487954e+04, 7.499189e+04, 7.499215e+04, e, 8.555195e-01, 1, 8.555195e-01
94, 2, 3, blackgood, Black, White, W3jpg.jpg, 7.487954e+04, 7.499301e+04, 7.499327e+04, i, 7.776278e-01, 1, 7.776278e-01
95, 4, 3, blackgood, Black, White, Foul, 7.487954e+04, 7.499405e+04, 7.499430e+04, i, 5.793649e-01, 1, 5.793649e-01
96, 2, 3, blackgood, Black, White, W7jpg.jpg, 7.487954e+04, 7.499489e+04, 7.499515e+04, i, 6.992455e-01, 1, 6.992455e-01
97, 4, 3, blackgood, Black, White, Foul, 7.487954e+04, 7.499586e+04, 7.499612e+04, i, 4.169689e-01, 1, 4.169689e-01
98, 2, 3, blackgood, Black, White, W8jpg.jpg, 7.487954e+04, 7.499656e+04, 7.499681e+04, i, 4.709219e-01, 1, 4.709219e-01
99, 3, 3, blackgood, Black, White, Lovely, 7.487954e+04, 7.499729e+04, 7.499754e+04, e, 5.366312e-01, 0, 9.913655e-01
100, 2, 3, blackgood, Black, White, W8jpg.jpg, 7.487954e+04, 7.499855e+04, 7.499880e+04, i, 6.093312e-01, 1, 6.093312e-01
101, 4, 8, badgood, Unpleasant, Pleasant, Nasty, 7.487954e+04, 7.500448e+04, 7.500473e+04, e, 7.835559e-01, 0, 1.340821e+00
102, 4, 8, badgood, Unpleasant, Pleasant, Disgusting, 7.487954e+04, 7.500608e+04, 7.500633e+04, e, 7.295878e-01, 1, 7.295878e-01
103, 4, 8, badgood, Unpleasant, Pleasant, Terrible, 7.487954e+04, 7.500708e+04, 7.500734e+04, e, 6.569606e-01, 0, 1.134178e+00
104, 3, 8, badgood, Unpleasant, Pleasant, Nice, 7.487954e+04, 7.500849e+04, 7.500874e+04, i, 5.311153e-01, 1, 5.311153e-01
105, 4, 8, badgood, Unpleasant, Pleasant, Horrible, 7.487954e+04, 7.500928e+04, 7.500954e+04, e, 5.787825e-01, 1, 5.787825e-01
106, 4, 8, badgood, Unpleasant, Pleasant, Horrible, 7.487954e+04, 7.501013e+04, 7.501040e+04, e, 3.566572e-01, 1, 3.566572e-01
107, 4, 8, badgood, Unpleasant, Pleasant, Terrible, 7.487954e+04, 7.501076e+04, 7.501101e+04, e, 4.654353e-01, 1, 4.654353e-01
108, 3, 8, badgood, Unpleasant, Pleasant, Nice, 7.487954e+04, 7.501150e+04, 7.501175e+04, i, 6.993689e-01, 1, 6.993689e-01
109, 3, 8, badgood, Unpleasant, Pleasant, Nice, 7.487954e+04, 7.501247e+04, 7.501272e+04, i, 3.862400e-01, 1, 3.862400e-01
110, 4, 8, badgood, Unpleasant, Pleasant, Revolting, 7.487954e+04, 7.501312e+04, 7.501337e+04, e, 1.005326e+00, 1, 1.005326e+00
111, 3, 8, badgood, Unpleasant, Pleasant, Terrific, 7.487954e+04, 7.501439e+04, 7.501464e+04, i, 1.265729e+00, 1, 1.265729e+00
112, 3, 8, badgood, Unpleasant, Pleasant, Lovely, 7.487954e+04, 7.501592e+04, 7.501618e+04, i, 4.406772e-01, 1, 4.406772e-01
113, 3, 8, badgood, Unpleasant, Pleasant, Superb, 7.487954e+04, 7.501663e+04, 7.501688e+04, i, 3.263216e-01, 1, 3.263216e-01
114, 4, 8, badgood, Unpleasant, Pleasant, Terrible, 7.487954e+04, 7.501722e+04, 7.501748e+04, e, 2.966543e-01, 0, 8.617962e-01
115, 4, 8, badgood, Unpleasant, Pleasant, Terrible, 7.487954e+04, 7.501836e+04, 7.501862e+04, e, 4.467933e-01, 1, 4.467933e-01
116, 3, 8, badgood, Unpleasant, Pleasant, Nice, 7.487954e+04, 7.501908e+04, 7.501934e+04, i, 6.871931e-01, 1, 6.871931e-01
117, 4, 8, badgood, Unpleasant, Pleasant, Horrible, 7.487954e+04, 7.502004e+04, 7.502029e+04, e, 5.249816e-01, 1, 5.249816e-01
118, 4, 8, badgood, Unpleasant, Pleasant, Horrid, 7.487954e+04, 7.502083e+04, 7.502107e+04, e, 3.505713e-01, 1, 3.505713e-01
119, 3, 8, badgood, Unpleasant, Pleasant, Wonderful, 7.487954e+04, 7.502144e+04, 7.502169e+04, i, 5.309664e-01, 1, 5.309664e-01
120, 4, 8, badgood, Unpleasant, Pleasant, Awful, 7.487954e+04, 7.502224e+04, 7.502250e+04, e, 6.577501e-01, 1, 6.577501e-01
121, 3, 8, badgood, Unpleasant, Pleasant, Fabulous, 7.487954e+04, 7.502316e+04, 7.502341e+04, i, 5.071698e-01, 1, 5.071698e-01
